time,model_variety,bug_performance
0.0018802999999998349,2,0.0
0.011319800000000768,6,2.2888184e-05
0.007320499999998731,9,0.0
0.0036423999999986023,7,1.001358e-05
0.005058800000000474,8,1.5258789e-05
0.004765900000000656,10,5.722046e-06
0.003571500000001393,8,9.1552734e-05
0.0026529000000010683,5,1.4305115e-05
0.017291000000000167,9,0.0004348755
0.004783299999999713,4,0.0
0.003840200000002625,7,2.193451e-05
0.0007751999999996428,2,0.0
0.003993300000001199,4,0.0
0.005273700000000048,7,2.861023e-06
0.0037008000000007257,5,0.0
0.0035847999999987223,5,1.7642975e-05
0.012977400000000472,8,0.0
0.00520970000000176,7,1.9073486e-05
0.023677999999996757,10,2.2888184e-05
0.0015633999999984383,4,1.7166138e-05
0.02196920000000091,9,2.2888184e-05
0.008280500000001467,7,5.531311e-05
0.0022975000000009516,5,2.3841858e-05
0.027225099999999003,11,0.00021362305
0.018018000000001422,9,2.2888184e-05
0.0059942999999975655,6,2.2888184e-05
0.009067299999998113,7,3.8146973e-06
0.009326699999999022,8,2.0503998e-05
0.004929499999999365,7,1.9073486e-05
0.0006357000000001278,5,0.0
0.0028345999999999094,5,5.722046e-06
0.0031911999999998386,5,0.0
0.008197800000001365,7,0.0
0.0073249999999980275,8,1.1920929e-05
0.004426099999999877,7,1.001358e-05
0.015079899999999924,7,3.8146973e-06
0.0019823999999992736,7,2.4795532e-05
0.007096499999999395,4,0.0
0.008881799999997497,4,0.0
0.004849100000001272,4,0.0
0.009289300000002498,5,0.0
0.006196799999997893,7,0.0
0.0025836000000012405,4,0.0
0.005482799999999344,5,0.0
0.009291599999997402,7,0.0
0.008089399999999358,5,0.0
0.0027626000000005035,5,5.722046e-06
0.009364699999999004,7,3.8146973e-06
0.014578400000001324,8,0.00012207031
0.0019956000000007634,5,1.8119812e-05
0.002448700000002191,5,2.1457672e-05
0.013740599999998437,8,0.0
0.013119500000001949,7,0.0007324219
0.002356899999998774,5,0.0
0.011956699999998932,9,3.0517578e-05
0.008978700000000117,9,0.000118255615
0.029281600000000907,9,2.2888184e-05
0.008207999999999771,7,0.0
0.02056920000000062,9,3.8146973e-06
0.005905199999997279,7,0.0
0.008965299999999843,4,3.8146973e-06
0.002375700000001757,6,5.9127808e-05
0.004007099999999042,5,0.0
0.0007301999999995701,5,0.0
0.005297900000002187,7,2.3841858e-05
0.004872199999997662,8,0.0
0.004109499999998434,8,6.67572e-05
0.0019828000000003954,4,0.0
0.008606099999997951,9,0.0
