time,model_variety,bug_performance
0.03210029999999975,8,5.5
0.019659499999999497,13,6.0
0.05197509999999994,13,5.0
0.05204039999999921,13,6.0
0.0501068999999994,13,6.0
0.056212099999999765,13,6.5
0.023880999999999375,13,6.5
0.09892430000000019,16,176.0
0.047038700000001654,15,272.0
0.12467540000000099,21,176.0
0.050120099999993784,23,1536.0
0.08425040000000195,16,6.0
0.0651336000000029,22,112.0
0.0263344000000032,23,128.0
0.1335722999999973,17,192.0
0.050971000000004096,13,20.0
0.055243099999998435,12,6.0
0.022638300000004108,14,6.0
0.029530199999996398,17,6.5
0.05040709999999393,17,5.5
0.04837940000000174,13,7.0
0.0463419000000016,13,7.0
0.02086110000000474,14,6.5
0.03062389999999482,14,6.0
0.025422399999996514,14,7.0
0.059876599999995506,15,7.0
0.06601600000000474,20,208.0
0.0252140000000054,13,7.5
0.022075900000004367,13,5.5
0.08258299999999963,14,192.0
0.04306630000000666,14,208.0
0.06954140000000564,13,8.0
0.049360300000003576,13,5.0
0.0443111000000016,16,240.0
0.025686499999991952,16,6.0
0.0294799999999924,16,20.0
0.045260200000001305,14,6.0
0.05493419999999105,14,6.5
0.050434199999997986,14,7.0
0.0267444999999924,14,6.5
0.021975500000010584,18,6.5
0.05030469999999809,18,9.0
0.05196729999998695,22,224.0
0.04456789999998989,13,9.0
0.024439100000009262,13,6.0
0.02199829999999281,13,6.0
0.024711199999998712,13,6.0
0.043209300000000894,14,6.5
0.04973880000000008,14,6.0
0.04679580000001238,17,4.5
0.0251697000000064,19,5.0
0.10057120000000452,24,7.0
0.0567343999999963,24,8.0
0.021350100000006478,19,7.0
0.05265320000000884,21,7.0
0.052515500000012594,21,7.0
0.027459199999995576,19,20.0
0.026629600000006803,19,7.0
0.07940390000000264,32,4096.0
0.040557800000001976,12,6.5
0.046943200000001184,12,5.5
0.06154309999999441,18,192.0
0.044648500000008084,12,6.0
0.04920100000001071,15,5.0
0.06412389999999846,28,640.0
0.027209999999996626,8,7.0
0.03406990000001997,10,6.5
0.016628900000000613,8,6.0
0.018380600000000413,21,56.0
0.0747664999999813,21,56.0
0.0673994999999934,23,44.0
0.03985169999998561,28,24576.0
0.01635419999999499,8,6.5
0.018604799999991428,10,6.5
0.038199200000008204,10,18.0
0.03504399999999919,12,6.5
0.02574350000000436,8,6.0
0.055709299999989526,11,5.5
0.07093470000000934,8,1924145300000.0
0.048154100000004973,10,1649267400000.0
0.04856659999998669,10,1649267400000.0
0.05538029999999594,8,1786706400000.0
0.04975039999999353,11,1236950600000.0
0.032216699999992215,16,1236950600000.0
0.03675050000001079,16,1511828500000.0
0.0682151000000033,19,1236950600000.0
0.08589639999999577,23,1649267400000.0
0.04302330000001575,21,1511828500000.0
0.05179749999999217,23,1099511600000.0
0.06992950000000064,19,1511828500000.0
0.0666511000000014,18,1374389500000.0
0.035034600000017235,19,2061584300000.0
0.04119539999999233,19,1511828500000.0
0.07347459999999728,19,1374389500000.0
0.06053869999999506,13,30786326000000.0
0.049937499999998636,11,1511828500000.0
0.04908040000000824,8,1374389500000.0
0.062012199999998074,11,1374389500000.0
0.055016800000004196,10,1649267400000.0
0.055472799999989775,12,32985349000000.0
0.028154499999999416,13,35184372000000.0
0.0486413000000141,20,703687440000000.0
0.09981629999998631,19,1266637400000000.0
0.08525270000001228,19,774056200000000.0
0.1259563000000128,20,1125899900000000.0
0.038400100000018256,20,39582420000000.0
0.09759339999999384,29,35184372000000.0
0.07259299999998348,15,43980465000000.0
0.057577900000012505,13,30786326000000.0
0.0803592999999978,20,30786326000000.0
0.040536599999995815,21,30786326000000.0
0.08825319999999692,23,39582420000000.0
0.10700799999997912,22,30786326000000.0
0.068725900000004,21,28587302000000.0
0.10562160000000631,18,30786326000000.0
0.055098700000002054,27,281474980000000.0
0.05698480000000927,20,30786326000000.0
0.06799430000000939,15,39582420000000.0
0.09033719999999335,15,39582420000000.0
0.05888250000000994,14,28587302000000.0
0.07041390000000547,14,39582420000000.0
0.05066439999998806,23,844424900000000.0
0.04315120000001116,26,703687440000000.0
0.0867031999999881,26,774056200000000.0
0.04381990000001679,26,774056200000000.0
0.09654489999999782,25,1970324800000000.0
0.10230670000001396,29,844424900000000.0
0.05661539999999832,27,1266637400000000.0
0.09612500000000068,30,5629499500000000.0
0.04246800000001372,26,914793700000000.0
0.0453527999999892,26,914793700000000.0
0.09786679999999137,26,633318700000000.0
0.08764349999998444,29,1.8014399e+16
0.02861769999998387,14,35184372000000.0
0.02747009999998795,14,30786326000000.0
0.02919850000000679,14,26388280000000.0
0.058553799999998546,14,30786326000000.0
0.047489600000005794,14,1374389500000.0
0.06607319999997685,16,1786706400000.0
0.05815520000004426,14,1649267400000.0
0.02758849999997892,14,1374389500000.0
0.029702900000017962,14,1511828500000.0
0.05805440000000317,14,1649267400000.0
0.05133730000000014,14,1236950600000.0
0.06101259999996955,14,1511828500000.0
0.07179450000000998,15,2061584300000.0
0.024759299999971063,14,1511828500000.0
0.03143499999998767,11,1374389500000.0
0.07428899999996474,19,1511828500000.0
0.05802950000003193,11,1236950600000.0
